id	description	uniprotIDs	ncbiIDs
B16R08C08	spleen tyrosine kinase (SYK)	P43405	NM_003177.3,BC011399.1
B16R08C09	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) (TAP1)	Q03518	NM_000593.5
B16R08C10	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) (TAP1)	Q03518	NM_000593.5
B16R08C11	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) (BAP1)	Q92560	NM_004656.2
B16R08C12	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) (BAP1)	Q92560	NM_004656.2
B16R08C13	CDC45 cell division cycle 45-like (S. cerevisiae) (CDC45L)	O75419	NM_003504.3
B16R08C14	CDC45 cell division cycle 45-like (S. cerevisiae) (CDC45L)	O75419	NM_003504.3
B16R08C15	Beta-Ala-His dipeptidase	Q96KN2	NM_032649.5,BC004271.1
B16R08C16	Beta-Ala-His dipeptidase	Q96KN2	NM_032649.5,BC004271.1
B16R08C17	calcium/calmodulin-dependent protein kinase kinase 2, beta (CAMKK2), transcript variant 4, mRNA.	A8K7Q7	NM_153500.1
B16R08C18	calcium/calmodulin-dependent protein kinase kinase 2, beta (CAMKK2), transcript variant 4, mRNA.	A8K7Q7	NM_153500.1
B16R08C19	Mammaglobin-A	Q13296	NM_002411.1
B16R08C20	Mammaglobin-A	Q13296	NM_002411.1
B16R08C21	DNA replication licensing factor MCM8	Q9UJA3	NM_032485.4
B16R08C22	DNA replication licensing factor MCM8	Q9UJA3	NM_032485.4
B16R09C01	Histone H2B type 1-H	Q93079	NM_003524.2
B16R09C02	Histone H2B type 1-H	Q93079	NM_003524.2
B16R09C03	NIMA (never in mitosis gene a)- related kinase 7 (NEK7)	Q8TDX7	NM_133494.1
B16R09C04	NIMA (never in mitosis gene a)- related kinase 7 (NEK7)	Q8TDX7	NM_133494.1
B16R09C05	Tachykinin-3	Q9UHF0	NM_001006667.1
B16R09C06	Tachykinin-3	Q9UHF0	NM_001006667.1
B16R09C07	Mediator of RNA polymerase II transcription subunit 23	Q9ULK4	NM_004830.2
B16R09C08	Mediator of RNA polymerase II transcription subunit 23	Q9ULK4	NM_004830.2
B16R09C09	Centrosomal protein 55kDa (CEP55), mRNA	NA	NA
B16R09C10	Centrosomal protein 55kDa (CEP55), mRNA	NA	NA
B16R09C11	Cullin-associated NEDD8-dissociated protein 1	Q86VP6	NM_018448.2
B16R09C12	Cullin-associated NEDD8-dissociated protein 1	Q86VP6	NM_018448.2
B16R09C13	Tropomodulin-3	Q9NYL9	NM_014547.3
B16R09C14	Tropomodulin-3	Q9NYL9	NM_014547.3
B16R09C15	Splicing factor 1	Q15637	NM_201998.1
B16R09C16	Splicing factor 1	Q15637	NM_201998.1
B16R09C17	vesicle transport through interaction with t-SNAREs homolog 1A (yeast) (VTI1A), transcript variant 2	Q96AJ9	NM_145206.1
B16R09C18	vesicle transport through interaction with t-SNAREs homolog 1A (yeast) (VTI1A), transcript variant 2	Q96AJ9	NM_145206.1
B16R09C19	zinc finger and BTB domain containing 8 (ZBTB8)	Q96BR9	BC015239.1
B16R09C20	zinc finger and BTB domain containing 8 (ZBTB8)	Q96BR9	BC015239.1
B16R09C21	Cytosolic 5prime-nucleotidase III-like protein	Q969T7	NM_052935.1
B16R09C22	Cytosolic 5prime-nucleotidase III-like protein	Q969T7	NM_052935.1
B16R10C01	WD repeat domain 16 (WDR16)	Q8N1V2	BC025392.1
B16R10C02	WD repeat domain 16 (WDR16)	Q8N1V2	BC025392.1
B16R10C03	small EDRK-rich factor 2 (SERF2)	A6NL45	NM_005770.3
B16R10C04	small EDRK-rich factor 2 (SERF2)	A6NL45	NM_005770.3
B16R10C05	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) (KMO)	O15229	BC005297.1
B16R10C06	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) (KMO)	O15229	BC005297.1
B16R10C07	C-terminal binding protein 1 (CTBP1), transcript variant 1	Q13363	NM_001328.1
B16R10C08	C-terminal binding protein 1 (CTBP1), transcript variant 1	Q13363	NM_001328.1
B16R10C09	RecQ protein-like (DNA helicase Q1-like) (RECQL)	P46063	BC001052.2
B16R10C10	RecQ protein-like (DNA helicase Q1-like) (RECQL)	P46063	BC001052.2
B16R11C21	ADP-ribosylation factor-like 3 (ARL3)	P36405	NM_004311.1
B16R11C22	ADP-ribosylation factor-like 3 (ARL3)	P36405	NM_004311.1
B16R12C01	kallikrein-related peptidase 6 (KLK6), transcript variant A	Q92876	NM_002774.2
B16R12C02	kallikrein-related peptidase 6 (KLK6), transcript variant A	Q92876	NM_002774.2
B16R12C03	exosome component 8 (EXOSC8)	Q96B26	NM_181503.1
B16R12C04	exosome component 8 (EXOSC8)	Q96B26	NM_181503.1
B16R12C05	LUC7-like 2 (S. cerevisiae) (LUC7L2)	Q9Y383	BC042625.1,BC017163.1
B16R12C06	LUC7-like 2 (S. cerevisiae) (LUC7L2)	Q9Y383	BC042625.1,BC017163.1
B16R12C07	osteoclast stimulating factor 1 (OSTF1)	Q92882	NM_012383.2
B16R12C08	osteoclast stimulating factor 1 (OSTF1)	Q92882	NM_012383.2
B16R12C09	X-ray repair complementing defective repair in Chinese hamster cells 4 (XRCC4)	Q13426	BC005259.1
B16R12C10	X-ray repair complementing defective repair in Chinese hamster cells 4 (XRCC4)	Q13426	BC005259.1
B16R12C11	hypothetical protein MGC26733 (MGC26733)	NA	BC026091.2
B16R12C12	hypothetical protein MGC26733 (MGC26733)	NA	BC026091.2
B16R12C13	ankyrin repeat and KH domain containing 1 (ANKHD1), transcript variant 3	Q8IWZ3,NA	NM_024668.1,NM_024668.2
B16R12C14	ankyrin repeat and KH domain containing 1 (ANKHD1), transcript variant 3	Q8IWZ3,NA	NM_024668.1,NM_024668.2
B16R12C15	protocadherin gamma subfamily A, 12 (PCDHGA12), transcript variant 1	NA	NA
B16R12C16	protocadherin gamma subfamily A, 12 (PCDHGA12), transcript variant 1	NA	NA
B16R12C17	Testis-specific Y-encoded-like protein 6	Q8N831	NM_001003937.1
B16R12C18	Testis-specific Y-encoded-like protein 6	Q8N831	NM_001003937.1
B16R12C19	Uncharacterized protein KIAA1310	Q9P2N6	BC063792.1
B16R12C20	Uncharacterized protein KIAA1310	Q9P2N6	BC063792.1
B16R12C21	interleukin 22 (IL22)	Q9GZX6	NM_020525.4
B16R12C22	interleukin 22 (IL22)	Q9GZX6	NM_020525.4
B16R13C01	Fanconi anemia-associated protein of 100 kDa	Q0VG06	NM_025161.2
B16R13C02	Fanconi anemia-associated protein of 100 kDa	Q0VG06	NM_025161.2
B16R13C03	AHNAK nucleoprotein (AHNAK), transcript variant 2	A1A586,Q9BVU3	NM_024060.2,NM_024060.1
B16R13C04	AHNAK nucleoprotein (AHNAK), transcript variant 2	A1A586,Q9BVU3	NM_024060.2,NM_024060.1
B16R13C05	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase) (DCI)	P42126	BC009631.1
B16R13C06	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase) (DCI)	P42126	BC009631.1
B16R13C07	chromosome 10 open reading frame 91 (C10orf91)	Q5T1B1	NM_173541.1
B16R13C08	chromosome 10 open reading frame 91 (C10orf91)	Q5T1B1	NM_173541.1
B16R13C09	mitochondrial ribosomal protein L49 (MRPL49), nuclear gene encoding mitochondrial protein	Q13405	NM_004927.1
B16R13C10	mitochondrial ribosomal protein L49 (MRPL49), nuclear gene encoding mitochondrial protein	Q13405	NM_004927.1
B16R13C11	karyopherin alpha 1 (importin alpha 5) (KPNA1)	P52294	BC002374.1
B16R13C12	karyopherin alpha 1 (importin alpha 5) (KPNA1)	P52294	BC002374.1
B16R13C13	transmembrane protein 103 (TMEM103)	Q0PNE2	BC000623.1
B16R13C14	transmembrane protein 103 (TMEM103)	Q0PNE2	BC000623.1
B16R13C15	integral membrane protein 2C (ITM2C)	Q9NQX7	BC002424.1
B16R13C16	integral membrane protein 2C (ITM2C)	Q9NQX7	BC002424.1
B16R13C17	WD repeat domain 48 (WDR48)	Q8TAF3	BC037168.2
B16R13C18	WD repeat domain 48 (WDR48)	Q8TAF3	BC037168.2
B16R13C19	myocyte enhancer factor 2D (MEF2D)	Q14814	BC040949.1,BC054520.1
B16R13C20	myocyte enhancer factor 2D (MEF2D)	Q14814	BC040949.1,BC054520.1
B16R13C21	sphingosine-1-phosphate lyase 1 (SGPL1)	O95470	BC052991.1
B16R13C22	sphingosine-1-phosphate lyase 1 (SGPL1)	O95470	BC052991.1
B16R14C03	ubiquitin-conjugating enzyme E2S (UBE2S)	Q16763	BC004236.2
B16R14C04	ubiquitin-conjugating enzyme E2S (UBE2S)	Q16763	BC004236.2
B16R14C05	haloacid dehalogenase-like hydrolase domain containing 3 (HDHD3)	Q9BSH5	NM_031219.2
B16R14C06	haloacid dehalogenase-like hydrolase domain containing 3 (HDHD3)	Q9BSH5	NM_031219.2
B16R14C07	chromosome 6 open reading frame 145 (C6orf145)	Q5TGL8	NM_183373.2
B16R14C08	chromosome 6 open reading frame 145 (C6orf145)	Q5TGL8	NM_183373.2
B16R14C09	MAX-like protein X (MLX), transcript variant 2	Q9UH92	NM_198204.1
B16R14C10	MAX-like protein X (MLX), transcript variant 2	Q9UH92	NM_198204.1
B16R14C11	LUC7-like (S. cerevisiae) (LUC7L), transcript variant 1	Q9NQ29	NM_018032.2
B16R14C12	LUC7-like (S. cerevisiae) (LUC7L), transcript variant 1	Q9NQ29	NM_018032.2
B16R14C13	ER lipid raft associated 1 (ERLIN1)	O75477	NM_006459.1
B16R14C14	ER lipid raft associated 1 (ERLIN1)	O75477	NM_006459.1
B16R14C15	mitogen-activated protein kinase 13 (MAPK13)	O15264	NM_002754.3
B16R14C16	mitogen-activated protein kinase 13 (MAPK13)	O15264	NM_002754.3
B16R14C17	RUN and SH3 domain containing 1 (RUSC1)	Q9BVN2	BC001045.1
B16R14C18	RUN and SH3 domain containing 1 (RUSC1)	Q9BVN2	BC001045.1
B16R14C19	YTH domain family, member 2 (YTHDF2)	Q9Y5A9	BC002559.1
B16R14C20	YTH domain family, member 2 (YTHDF2)	Q9Y5A9	BC002559.1
B16R14C21	mitochondrial translational initiation factor 3 (MTIF3)	Q9H2K0	NM_152912.3
B16R14C22	mitochondrial translational initiation factor 3 (MTIF3)	Q9H2K0	NM_152912.3
B16R15C01	zinc finger, CCHC domain containing 11 (ZCCHC11)	Q5TAX3	BC048301.1
B16R15C02	zinc finger, CCHC domain containing 11 (ZCCHC11)	Q5TAX3	BC048301.1
B16R15C03	chromosome 10 open reading frame 65 (C10orf65)	Q86XE5	BC011916.1,NM_138413.1
B16R15C04	chromosome 10 open reading frame 65 (C10orf65)	Q86XE5	BC011916.1,NM_138413.1
B16R15C05	peroxisome proliferator-activated receptor gamma (PPARG), transcript variant 2	P37231	NM_015869.2
B16R15C06	peroxisome proliferator-activated receptor gamma (PPARG), transcript variant 2	P37231	NM_015869.2
B16R15C07	CBF1-interacting corepressor	Q86X95	NM_004882.3
B16R15C08	CBF1-interacting corepressor	Q86X95	NM_004882.3
B16R15C09	Glucose-6-phosphate 1-dehydrogenase	P11413	NM_000402.2
B16R15C10	Glucose-6-phosphate 1-dehydrogenase	P11413	NM_000402.2
B16R15C11	RAB3A interacting protein (rabin3) (RAB3IP)	Q96QF0	BC059358.1,BC015548.1
B16R15C12	RAB3A interacting protein (rabin3) (RAB3IP)	Q96QF0	BC059358.1,BC015548.1
B16R15C13	cyclin-dependent kinase 7	P50613	NM_001799.2
B16R15C14	cyclin-dependent kinase 7	P50613	NM_001799.2
B16R15C15	serine/threonine kinase 24 (STE20 homolog, yeast) (STK24), transcript variant 2	NA	NM_001032296.2
B16R15C16	serine/threonine kinase 24 (STE20 homolog, yeast) (STK24), transcript variant 2	NA	NM_001032296.2
B16R15C17	casein kinase 1, gamma 2 (CSNK1G2)	P78368	NM_001319.5
B16R15C18	casein kinase 1, gamma 2 (CSNK1G2)	P78368	NM_001319.5
B16R15C19	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1	P22607	NM_000142.2
B16R15C20	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1	P22607	NM_000142.2
B16R15C21	CHK2 checkpoint homolog (S. pombe) (CHEK2), transcript variant 3	NA	NM_001005735.1
B16R15C22	CHK2 checkpoint homolog (S. pombe) (CHEK2), transcript variant 3	NA	NM_001005735.1
B16R16C01	KIT ligand (KITLG), transcript variant b	P21583	NM_000899.3
B16R16C02	KIT ligand (KITLG), transcript variant b	P21583	NM_000899.3
B16R16C03	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog) (PDGFB), transcript variant 1	P01127	NM_002608.1
B16R16C04	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog) (PDGFB), transcript variant 1	P01127	NM_002608.1
B16R16C05	serine/threonine kinase 33	NA	NM_030906.2
B16R16C06	serine/threonine kinase 33	NA	NM_030906.2
B16R16C07	chromosome 9 open reading frame 170 (C9orf170), mRNA.	Q6ZSH1	NM_001001709.1
B16R16C08	chromosome 9 open reading frame 170 (C9orf170), mRNA.	Q6ZSH1	NM_001001709.1
B16R16C09	Melanoregulin	Q8N565	BC082990.1,BC032747.1
B16R16C10	Melanoregulin	Q8N565	BC082990.1,BC032747.1
B16R16C11	Microtubule-associated protein 7 (MAP7), mRNA	NA	NA
B16R16C12	Microtubule-associated protein 7 (MAP7), mRNA	NA	NA
B16R16C13	Inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA	NA	NA
B16R16C14	Inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA	NA	NA
B16R16C15	Nuclear protein localization protein 4 homolog	Q8TAT6	BC025930.1
B16R16C16	Nuclear protein localization protein 4 homolog	Q8TAT6	BC025930.1
B16R16C17	ilvB (bacterial acetolactate synthase)-like (ILVBL), mRNA.	Q59GP4	NM_006844.3
B16R16C18	ilvB (bacterial acetolactate synthase)-like (ILVBL), mRNA.	Q59GP4	NM_006844.3
B16R16C19	CAMP responsive element modulator (CREM), transcript variant 7, mRNA	NA	NA
B16R16C20	CAMP responsive element modulator (CREM), transcript variant 7, mRNA	NA	NA
B16R16C21	Osteocalcin	P02818	NM_199173.2
B16R16C22	Osteocalcin	P02818	NM_199173.2
B16R17C01	Opioid binding protein/cell adhesion molecule-like, mRNA (cDNA clone MGC:104014 IMAGE:30915458), complete cds	NA	NA
B16R17C02	Opioid binding protein/cell adhesion molecule-like, mRNA (cDNA clone MGC:104014 IMAGE:30915458), complete cds	NA	NA
B16R17C03	bone morphogenetic protein 8a, mRNA (cDNA clone IMAGE:7939588), complete cds.	Q9H7R1	BC093743.1
B16R17C04	bone morphogenetic protein 8a, mRNA (cDNA clone IMAGE:7939588), complete cds.	Q9H7R1	BC093743.1
B16R17C05	F-box protein 21, mRNA (cDNA clone MGC:26682 IMAGE:4815947), complete cds	NA	NA
B16R17C06	F-box protein 21, mRNA (cDNA clone MGC:26682 IMAGE:4815947), complete cds	NA	NA
B16R17C07	Tesmin	Q9Y4I5	NM_001039656.1
B16R17C08	Tesmin	Q9Y4I5	NM_001039656.1
B16R17C09	SP100 nuclear antigen (SP100)	P23497	BC011562.1
B16R17C10	SP100 nuclear antigen (SP100)	P23497	BC011562.1
B16R17C11	F-box and leucine-rich repeat protein 16 (FBXL16)	Q8N461	BC034014.1,NM_153350.2
B16R17C12	F-box and leucine-rich repeat protein 16 (FBXL16)	Q8N461	BC034014.1,NM_153350.2
B16R17C13	galactosidase, beta 1 (GLB1), transcript variant 1	NA	NA
B16R17C14	galactosidase, beta 1 (GLB1), transcript variant 1	NA	NA
B16R17C15	casein kinase 1, gamma 1 (CSNK1G1)	Q9HCP0	NM_022048.1
B16R17C16	casein kinase 1, gamma 1 (CSNK1G1)	Q9HCP0	NM_022048.1
B16R17C17	CDK5 regulatory subunit associated protein 1 (CDK5RAP1), transcript variant 2	Q96SZ6	NM_016082.3
B16R17C18	CDK5 regulatory subunit associated protein 1 (CDK5RAP1), transcript variant 2	Q96SZ6	NM_016082.3
B16R17C19	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase) (CCBL1)	Q16773,Q96E07	BC013069.1,NM_004059.3
B16R17C20	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase) (CCBL1)	Q16773,Q96E07	BC013069.1,NM_004059.3
B16R17C21	Transmembrane protein 207	Q6UWW9	NM_207316.1
B16R17C22	Transmembrane protein 207	Q6UWW9	NM_207316.1
B16R18C01	carboxypeptidase A5 (CPA5)	Q8WXQ8	BC039362.1
B16R18C02	carboxypeptidase A5 (CPA5)	Q8WXQ8	BC039362.1
B16R18C03	minichromosome maintenance complex component 5 (MCM5)	P33992	BC003656.1,NM_006739.1
B16R18C04	minichromosome maintenance complex component 5 (MCM5)	P33992	BC003656.1,NM_006739.1
B16R18C05	nucleoporin like 1 (NUPL1), transcript variant 1	Q9BVL2	NM_014089.2
B16R18C06	nucleoporin like 1 (NUPL1), transcript variant 1	Q9BVL2	NM_014089.2
B16R18C07	splicing factor 3b, subunit 3, 130kDa (SF3B3)	Q15393	BC009780.1,BC000463.1
B16R18C08	splicing factor 3b, subunit 3, 130kDa (SF3B3)	Q15393	BC009780.1,BC000463.1
B16R18C09	transmembrane protein 106C (TMEM106C)	Q9BVX2	NM_024056.1
B16R18C10	transmembrane protein 106C (TMEM106C)	Q9BVX2	NM_024056.1
B16R18C11	ets homologous factor (EHF)	Q9NZC4	NM_012153.1
B16R18C12	ets homologous factor (EHF)	Q9NZC4	NM_012153.1
B16R18C13	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase) (SMPD1)	P17405	BC041164.1
B16R18C14	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase) (SMPD1)	P17405	BC041164.1
B16R18C15	olfactomedin 3 (OLFM3)	Q5T3V6	NM_058170.1
B16R18C16	olfactomedin 3 (OLFM3)	Q5T3V6	NM_058170.1
B16R18C17	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast) (ACTR1A)	P61163	NM_005736.2
B16R18C18	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast) (ACTR1A)	P61163	NM_005736.2
B16R18C19	syndecan binding protein (syntenin) (SDCBP), transcript variant 2	O00560	NM_001007067.1
B16R18C20	syndecan binding protein (syntenin) (SDCBP), transcript variant 2	O00560	NM_001007067.1
B16R18C21	ankyrin repeat and SOCS box-containing 7 (ASB7), transcript variant 2	Q9H672	NM_198243.1
B16R18C22	ankyrin repeat and SOCS box-containing 7 (ASB7), transcript variant 2	Q9H672	NM_198243.1
B16R19C01	Carboxymethylenebutenolidase homolog	Q96DG6	NM_138809.1
B16R19C02	Carboxymethylenebutenolidase homolog	Q96DG6	NM_138809.1
B16R19C03	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55)	Q8NHQ9	BC030020.2,BC035911.1
B16R19C04	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55)	Q8NHQ9	BC030020.2,BC035911.1
B16R19C05	hypothetical protein MGC24125 (MGC24125)	Q8NEQ2	NM_173796.2
B16R19C06	hypothetical protein MGC24125 (MGC24125)	Q8NEQ2	NM_173796.2
B16R19C07	hypothetical protein MGC15705 (MGC15705)	Q96IR3	NM_032757.1
B16R19C08	hypothetical protein MGC15705 (MGC15705)	Q96IR3	NM_032757.1
B16R19C09	interferon induced transmembrane protein 3 (1-8U) (IFITM3)	Q01628	BC008417.1,BC006794.1
B16R19C10	interferon induced transmembrane protein 3 (1-8U) (IFITM3)	Q01628	BC008417.1,BC006794.1
B16R19C11	family with sequence similarity 127, member B (FAM127B)	NA	BC000393.1
B16R19C12	family with sequence similarity 127, member B (FAM127B)	NA	BC000393.1
B16R19C13	relaxin 1 (RLN1)	P04808	NM_006911.2
B16R19C14	relaxin 1 (RLN1)	P04808	NM_006911.2
B16R19C15	WD repeat domain 1 (WDR1), transcript variant 2	O75083	NM_005112.4
B16R19C16	WD repeat domain 1 (WDR1), transcript variant 2	O75083	NM_005112.4
B16R19C17	intraflagellar transport 81 homolog (Chlamydomonas) (IFT81), transcript variant 1	Q8WYA0	NM_014055.1,NM_014055.2
B16R19C18	intraflagellar transport 81 homolog (Chlamydomonas) (IFT81), transcript variant 1	Q8WYA0	NM_014055.1,NM_014055.2
B16R19C19	RING finger protein 122	Q9H9V4	NM_024787.2
B16R19C20	RING finger protein 122	Q9H9V4	NM_024787.2
B16R19C21	C-type lectin domain family 2 member B	Q92478	NM_005127.2
B16R19C22	C-type lectin domain family 2 member B	Q92478	NM_005127.2
B16R20C01	Transportin-3	Q9Y5L0	BC068530.1
B16R20C02	Transportin-3	Q9Y5L0	BC068530.1
B16R20C03	cell division cycle 40 homolog (S. cerevisiae) (CDC40)	O60508	NM_015891.2
B16R20C04	cell division cycle 40 homolog (S. cerevisiae) (CDC40)	O60508	NM_015891.2
B16R20C05	Serine/threonine-protein kinase OSR1	O95747	BC008726.1
B16R20C06	Serine/threonine-protein kinase OSR1	O95747	BC008726.1
B16R20C07	chromosome 17 open reading frame 62 (C17orf62)	Q9BQA9	BC003595.1
B16R20C08	chromosome 17 open reading frame 62 (C17orf62)	Q9BQA9	BC003595.1
B16R20C09	skin aspartic protease (SASP)	Q53RT3	BC031997.1
B16R20C11	proteasome (prosome, macropain) 26S subunit, ATPase, 5 (PSMC5)	P62195	NM_002805.1
B16R20C12	proteasome (prosome, macropain) 26S subunit, ATPase, 5 (PSMC5)	P62195	NM_002805.1
B16R20C13	hypothetical gene supported by BC031661 (LOC389458)	Q8N0T3	BC031661.1
B16R20C14	hypothetical gene supported by BC031661 (LOC389458)	Q8N0T3	BC031661.1
B16R20C15	DCP1 decapping enzyme homolog B (S. cerevisiae), mRNA (cDNA clone MGC:44405 IMAGE:5296928), complete cds	NA	NA
B16R20C16	DCP1 decapping enzyme homolog B (S. cerevisiae), mRNA (cDNA clone MGC:44405 IMAGE:5296928), complete cds	NA	NA
B16R20C17	Chromosome 6 open reading frame 149 (C6orf149), mRNA	NA	NA
B16R20C18	Chromosome 6 open reading frame 149 (C6orf149), mRNA	NA	NA
B16R20C19	Solute carrier family 6 (neutral amino acid transporter), member 19 (SLC6A19), mRNA	NA	NA
B16R20C20	Solute carrier family 6 (neutral amino acid transporter), member 19 (SLC6A19), mRNA	NA	NA
B16R20C21	Butyrophilin-like 3 (BTNL3), transcript variant 1, mRNA	NA	NA
B16R20C22	Butyrophilin-like 3 (BTNL3), transcript variant 1, mRNA	NA	NA
B16R21C01	Cisplatin resistance related protein CRR9p (CRR9), mRNA	NA	NA
B16R21C02	Cisplatin resistance related protein CRR9p (CRR9), mRNA	NA	NA
B16R21C03	mRNA similar to tripartite motif-containing 4 (cDNA clone MGC:45868 IMAGE:4906353), complete cds	NA	NA
B16R21C04	mRNA similar to tripartite motif-containing 4 (cDNA clone MGC:45868 IMAGE:4906353), complete cds	NA	NA
B16R21C05	Phospholipase A2, group IVB (cytosolic), mRNA (cDNA clone IMAGE:4556397), complete cds	NA	NA
B16R21C06	Phospholipase A2, group IVB (cytosolic), mRNA (cDNA clone IMAGE:4556397), complete cds	NA	NA
B16R21C07	Hypothetical protein FLJ10700, mRNA (cDNA clone MGC:14084 IMAGE:4040385), complete cds	NA	NA
B16R21C08	Hypothetical protein FLJ10700, mRNA (cDNA clone MGC:14084 IMAGE:4040385), complete cds	NA	NA
B16R21C09	Semaphorin-4A / SEMA4A / Semaphorin-B Protein (His Tag)	NA	NA
B16R21C16	Internal Control	NA	NA
B16R21C19	Internal Control	NA	NA
B16R21C21	Internal Control	NA	NA
B16R21C22	Internal Control	NA	NA
B17R02C11	transmembrane protein 100 (TMEM100)	Q9NV29	BC010128.2
B17R02C12	transmembrane protein 100 (TMEM100)	Q9NV29	BC010128.2
B17R02C13	troponin C type 1 (slow) (TNNC1)	P63316	NM_003280.1
B17R02C14	troponin C type 1 (slow) (TNNC1)	P63316	NM_003280.1
B17R02C15	claudin domain containing 2 (CLDND2)	Q8NHS1	NM_152353.1
B17R02C16	claudin domain containing 2 (CLDND2)	Q8NHS1	NM_152353.1
B17R02C17	cDNA clone IMAGE:4329532, partial cds	NA	BC011940.2
B17R02C18	cDNA clone IMAGE:4329532, partial cds	NA	BC011940.2
B17R02C19	immunoglobulin lambda locus (IGL@)	P01842	BC032452.1,BC030983.1
B17R02C20	immunoglobulin lambda locus (IGL@)	P01842	BC032452.1,BC030983.1
B17R02C21	neuroligin 4, Y-linked (NLGN4Y)	Q8N5B6	BC032567.1
B17R02C22	neuroligin 4, Y-linked (NLGN4Y)	Q8N5B6	BC032567.1
B17R03C01	PHD finger protein 17 (PHF17), transcript variant S	Q6IE81	NM_024900.2
B17R03C02	PHD finger protein 17 (PHF17), transcript variant S	Q6IE81	NM_024900.2
B17R03C03	ring finger protein 170 (RNF170)	Q96K19	BC032393.1
B17R03C04	ring finger protein 170 (RNF170)	Q96K19	BC032393.1
B17R03C05	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa (EIF2B3)	Q9NR50	BC018728.1
B17R03C06	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa (EIF2B3)	Q9NR50	BC018728.1
B17R03C07	general transcription factor IIA, 2, 12kDa (GTF2A2)	P52657	NM_004492.1
B17R03C08	general transcription factor IIA, 2, 12kDa (GTF2A2)	P52657	NM_004492.1
B17R03C09	RD RNA binding protein (RDBP)	P18615	NM_002904.4
B17R03C10	RD RNA binding protein (RDBP)	P18615	NM_002904.4
B17R03C11	transmembrane emp24 domain trafficking protein 2 (TMED2)	Q15363	NM_006815.2
B17R03C12	transmembrane emp24 domain trafficking protein 2 (TMED2)	Q15363	NM_006815.2
B17R03C13	WD repeat and FYVE domain containing 1 (WDFY1)	Q8IWB7	NM_020830.1
B17R03C14	WD repeat and FYVE domain containing 1 (WDFY1)	Q8IWB7	NM_020830.1
B17R03C15	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 (SERPINA3)	P01011	BC034554.1
B17R03C16	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 (SERPINA3)	P01011	BC034554.1
B17R03C17	cystathionine-beta-synthase (CBS)	P35520	NM_000071.1
B17R03C18	cystathionine-beta-synthase (CBS)	P35520	NM_000071.1
B17R03C19	CASP2 and RIPK1 domain containing adaptor with death domain (CRADD)	P78560	NM_003805.2
B17R03C20	CASP2 and RIPK1 domain containing adaptor with death domain (CRADD)	P78560	NM_003805.2
B17R03C21	sterol carrier protein 2 (SCP2)	P22307	BC005911.1
B17R03C22	sterol carrier protein 2 (SCP2)	P22307	BC005911.1
B17R04C01	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) (ERCC1), transcript variant 2	P07992	NM_001983.1
B17R04C02	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) (ERCC1), transcript variant 2	P07992	NM_001983.1
B17R04C03	MGC13170 gene (MGC13170)	Q6RUI8	NM_032712.1
B17R04C04	MGC13170 gene (MGC13170)	Q6RUI8	NM_032712.1
B17R04C05	chromosome 16 open reading frame 59 (C16orf59)	Q7L2K0	NM_025108.1
B17R04C06	chromosome 16 open reading frame 59 (C16orf59)	Q7L2K0	NM_025108.1
B17R04C07	SPANX family, member B1 (SPANXB1)	Q9NS25	NM_032461.2
B17R04C08	SPANX family, member B1 (SPANXB1)	Q9NS25	NM_032461.2
B17R04C09	PH domain-containing protein C10orf81	Q5SXH7	BC036365.1
